	mock_1	mock_2	mock_3	SUPP1331_1	SUPP1331_2	SUPP1331_3	DC3000_1	DC3000_2	DC3000_3	delta_1	delta_2	delta_3
AT2G42160	141	76	152	97	99	250	119	146	239	252	50	136
AT2G42170	154	4	109	0	4	17	0	0	0	33	9	3
AT2G42180	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42190	3500	1375	3359	975	721	2132	311	350	331	2630	720	1726
AT2G42200	68	55	47	44	29	47	32	47	54	105	14	37
AT2G09340	0	0	0	0	0	0	0	0	0	4	0	0
AT2G42210	2986	2162	2065	1670	2523	1831	1646	1839	1762	3031	1973	2593
AT2G42220	1547	887	1178	251	455	604	299	444	346	1071	238	356
AT2G42230	196	151	199	165	90	95	95	71	147	74	89	129
AT2G09345	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42240	35	18	49	25	54	52	47	18	77	74	44	65
AT2G42247	43	9	44	21	7	24	14	1	0	23	21	29
AT2G42250	0	0	1	0	0	5	0	0	0	0	0	0
AT2G42260	10	0	7	17	0	3	0	5	0	10	0	1
AT2G42270	143	78	98	134	122	167	82	80	74	186	79	138
AT2G42280	127	55	84	43	47	121	98	58	74	65	32	118
AT2G09350	0	0	0	0	0	0	0	0	0	0	0	0
AT2G09355	0	0	0	0	0	0	0	0	0	0	0	0
AT2G09360	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42290	28	17	2	10	17	27	20	5	26	14	0	4
AT2G42300	107	62	101	63	29	40	8	15	4	69	15	41
AT2G42310	1523	1134	1285	1820	2544	1419	1605	1587	1566	2265	1614	2591
AT2G09365	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42320	261	162	233	57	52	127	37	5	51	144	18	138
AT2G42330	117	52	137	246	95	276	82	85	89	239	157	194
AT2G09370	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42340	0	0	0	0	0	0	0	0	0	5	0	0
AT2G42350	16	1	1	31	30	8	17	25	5	10	2	6
AT2G42360	7	16	29	116	67	45	16	40	81	82	27	101
AT2G42365	11	11	15	3	0	4	0	2	0	4	1	2
AT2G42370	58	28	17	20	16	29	5	1	10	16	0	7
AT2G42380	148	28	39	0	0	13	0	0	10	10	0	6
AT2G42388	0	0	12	0	0	0	0	1	0	0	0	0
AT2G42390	317	131	192	228	314	158	176	163	269	259	243	203
AT2G42395	79	6	56	6	7	16	4	10	4	43	9	16
AT2G42400	187	95	212	392	251	240	550	387	299	343	257	454
AT2G09375	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42410	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42420	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42425	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42430	4	0	0	0	0	0	0	13	6	0	0	0
AT2G42440	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42450	20	17	15	1	31	15	0	20	19	13	13	8
AT2G42455	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42460	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42465	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42470	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42475	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42480	16	12	22	70	65	19	8	7	39	77	34	40
AT2G42485	243	113	151	48	60	71	87	9	57	90	27	69
AT2G42490	350	233	471	352	185	230	121	108	146	240	133	350
AT2G42500	385	339	498	452	436	481	458	407	392	444	325	505
AT2G42510	59	27	52	11	19	18	0	12	0	41	9	28
AT2G42520	1472	1012	1488	1063	1587	1546	1219	1556	2001	1821	963	1676
AT2G42530	9402	8064	7327	2943	8161	8704	9398	10539	11521	19235	4084	6502
AT2G42540	18851	22749	13932	7285	23118	20059	28510	44913	38867	34143	7569	12491
AT2G42550	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42560	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42570	30	82	77	22	40	27	41	35	20	62	34	30
AT2G42580	104	54	109	14	16	55	25	12	38	75	8	36
AT2G42590	4329	4290	5117	1650	3341	2656	1968	2205	1757	4230	1805	2049
AT2G42600	1552	1054	1753	703	723	1038	986	505	1063	1089	424	878
AT2G42610	315	271	302	8	110	53	62	62	49	164	43	87
AT2G09380	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42620	255	43	169	80	32	83	51	15	52	68	22	87
AT2G42640	25	2	45	1	0	11	14	9	13	7	6	18
AT2G42650	197	159	203	185	255	302	163	330	414	380	143	349
