	mock_1	mock_2	mock_3	SUPP1331_1	SUPP1331_2	SUPP1331_3	DC3000_1	DC3000_2	DC3000_3	delta_1	delta_2	delta_3
AT1G01010	203	57	81	620	360	373	460	287	676	649	415	790
AT1G01020	205	149	209	306	286	250	490	254	251	201	213	252
AT1G03987	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01030	5	7	22	47	40	28	130	66	35	58	35	50
AT1G01040	295	70	225	281	178	272	319	177	308	509	277	334
AT1G03993	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01046	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01050	527	454	549	306	275	314	302	155	191	260	223	429
AT1G03997	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01060	68	43	78	65	68	50	64	48	69	53	50	82
AT1G01070	50	12	7	14	50	8	7	28	15	29	28	13
AT1G04003	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	604	513	607	72	130	173	41	71	72	344	163	155
AT1G01090	1545	858	1300	717	957	824	988	666	715	1255	450	1343
AT1G01100	11281	6240	8254	5500	8111	5344	5061	5212	6978	8007	4198	8303
AT1G01110	6	1	0	4	0	0	0	0	0	4	0	11
AT1G01120	1111	1122	728	222	355	537	251	416	363	498	302	503
AT1G01130	155	61	61	15	9	70	22	14	39	29	34	39
AT1G01140	386	254	453	158	195	275	102	223	131	252	113	162
AT1G01150	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01160	763	283	480	471	414	491	328	375	387	597	327	521
AT1G04007	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01170	611	377	391	128	135	186	102	113	86	426	112	189
AT1G04013	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01180	159	88	108	43	48	15	24	47	30	63	57	105
AT1G01183	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01190	4	5	43	10	6	32	7	0	2	19	0	16
AT1G01200	18	3	16	0	9	7	0	4	11	11	0	13
AT1G01210	188	59	76	47	67	101	48	37	75	92	61	53
AT1G04017	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01220	180	86	162	66	58	119	13	37	34	81	77	119
AT1G04023	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01225	25	5	10	7	1	11	0	0	18	3	9	5
AT1G01230	181	104	185	188	268	175	187	153	210	182	172	228
AT1G01240	583	470	771	355	224	408	96	135	144	329	178	326
AT1G01250	50	164	76	3	65	18	38	48	2	42	36	39
AT1G01260	37	12	36	112	148	59	166	255	196	111	76	127
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01290	72	73	73	109	40	77	55	16	50	55	25	59
AT1G01300	1500	517	1024	543	534	764	692	516	539	1062	344	728
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01310	0	0	0	0	0	0	0	10	0	16	0	0
AT1G01320	4843	1618	3782	1425	852	1862	999	638	727	2346	776	1805
AT1G01335	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01340	73	48	86	774	383	348	362	254	567	248	311	491
AT1G01350	108	165	129	197	104	192	141	204	121	240	115	223
AT1G01355	0	0	0	0	0	1	0	0	5	0	0	0
AT1G01360	121	93	162	90	41	68	108	83	99	81	56	132
AT1G01370	13	1	1	5	2	0	2	9	9	12	0	0
AT1G01380	20	22	8	1	31	8	1	2	9	32	12	10
AT1G01390	3	13	12	2	6	5	1	2	0	15	1	20
AT1G01400	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420	930	635	1157	452	511	1114	208	306	456	927	421	864
AT1G01430	890	296	671	103	55	125	111	92	60	224	33	123
AT1G01440	159	82	261	339	193	187	203	205	193	354	214	367
AT1G01448	61	13	46	10	20	20	5	11	28	31	24	25
AT1G01450	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01453	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01460	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01470	2110	2342	2219	1581	5306	3422	2714	5081	3263	8122	3028	3622
AT1G01480	3	2	7	176	206	42	421	334	661	235	239	173
AT1G01490	7142	2703	5483	4146	3702	4806	6125	6893	5605	4739	2265	3575
AT1G01500	483	193	662	558	316	271	256	158	448	253	204	386
AT1G01510	518	186	508	512	279	318	206	159	276	366	169	459
AT1G01520	4	5	1	8	1	0	5	9	2	2	0	2
AT1G01530	0	0	8	0	5	0	0	0	0	0	0	0
AT1G01540	244	147	241	149	226	288	157	143	171	282	142	254
AT1G01550	1778	836	1829	2532	2215	1928	1919	1426	2204	1795	1328	2351
AT1G01560	165	70	83	2961	3224	1462	702	1374	1689	2546	2679	2627
AT1G01570	0	2	3	7	6	10	15	6	4	1	2	4
AT1G01580	10	3	12	1	10	9	18	39	60	53	1	30
AT1G01590	0	10	15	0	0	7	2	1	2	2	0	1
AT1G01600	21	6	0	0	2	46	4	44	25	23	6	29
AT1G01610	3593	1865	2566	1703	1259	2324	1983	1443	1665	2773	1374	2690
AT1G01620	3330	2520	4185	1353	1940	1760	1444	1195	1425	1814	1377	2184
AT1G01630	167	165	100	65	98	98	62	78	68	77	39	71
AT1G01640	29	14	32	11	72	47	13	15	20	27	17	28
AT1G01650	179	144	126	226	308	217	409	449	384	337	148	274
AT1G04027	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01660	57	37	57	83	32	139	80	53	90	87	69	74
AT1G01670	59	32	17	33	31	55	2	27	33	55	26	30
AT1G01680	143	122	107	1432	3580	1444	1713	2825	3664	3224	2323	1846
AT1G01690	32	5	8	37	39	24	14	15	32	75	4	50
AT1G01695	5	3	4	1	3	17	4	0	21	0	8	0
AT1G04033	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04037	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01700	0	4	0	0	7	5	1	0	2	21	3	0
AT1G01710	180	130	250	76	75	88	109	82	123	89	34	59
AT1G01715	13	3	12	0	18	6	5	8	9	8	1	11
AT1G04043	0	0	0	2	0	0	0	0	0	0	0	0
AT1G01720	74	92	52	240	540	511	611	495	630	392	244	567
AT1G01725	5	21	3	41	42	14	30	55	8	17	12	26
AT1G04047	1	0	0	0	0	16	0	1	4	0	5	0
AT1G01730	155	74	64	182	325	226	191	201	354	260	141	158
AT1G01740	7	2	11	1	5	15	9	19	7	25	11	27
AT1G01750	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04053	39	9	33	12	11	12	8	7	9	26	17	2
AT1G01760	13	0	17	0	17	2	0	0	0	6	1	1
AT1G04057	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01770	140	39	92	33	9	94	25	42	39	51	15	26
AT1G01780	537	188	472	334	205	194	196	80	142	380	120	402
AT1G01790	995	356	1164	250	295	376	287	233	457	432	176	509
AT1G04063	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01800	446	386	357	296	479	293	225	231	282	371	239	369
AT1G01810	13	6	9	6	8	7	0	11	7	14	5	2
AT1G01820	929	721	938	860	1303	825	1296	1201	1362	1061	783	1022
AT1G01830	299	174	128	129	144	164	71	104	111	311	137	197
AT1G04067	0	0	0	0	0	0	0	0	0	3	0	0
AT1G01840	21	6	0	0	1	1	12	2	5	20	2	0
AT1G01860	201	126	167	42	38	82	50	33	52	90	32	28
AT1G04073	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01870	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01880	18	15	3	3	3	5	0	5	4	5	0	7
AT1G01890	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01900	16	7	3	0	5	13	5	28	9	29	0	13
AT1G04077	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01910	876	387	868	795	721	699	1155	771	1027	933	470	1037
AT1G04083	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01920	98	33	82	20	85	84	91	51	121	136	72	93
AT1G01930	78	39	44	21	48	59	22	34	24	83	22	54
AT1G01940	79	37	22	36	101	82	69	71	52	72	88	37
AT1G01950	78	46	72	46	50	51	23	43	12	66	26	73
AT1G01960	843	397	1070	1021	562	889	820	291	568	749	396	1241
AT1G01970	281	185	278	77	80	133	134	76	56	139	22	87
AT1G01980	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01990	159	75	158	187	293	171	330	234	270	257	92	222
AT1G02000	111	38	90	66	47	78	80	37	64	109	36	74
AT1G02010	57	33	49	35	12	32	38	26	15	66	25	48
AT1G02020	323	132	440	344	147	188	293	82	226	145	174	252
AT1G02030	7	0	0	0	10	10	0	7	4	4	1	0
AT1G02040	0	0	1	0	0	0	0	0	0	0	0	1
AT1G02050	22	12	10	28	9	41	2	7	9	18	14	15
AT1G02060	9	0	0	1	7	4	0	8	1	2	4	7
AT1G02065	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02067	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02070	0	0	0	0	0	0	0	0	1	1	0	1
AT1G02080	487	311	410	438	306	699	482	427	566	460	367	578
AT1G02090	312	254	399	278	514	471	361	356	537	539	316	411
AT1G02100	440	255	448	923	823	562	872	779	849	930	610	1016
AT1G02110	30	31	36	26	21	38	24	36	30	25	23	50
AT1G02120	537	271	629	605	750	838	525	849	901	939	665	845
AT1G02130	1510	977	1247	1340	1259	1193	1195	1295	1578	1350	1125	1830
AT1G04087	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02140	3001	1249	1542	2112	2196	1620	1724	2199	1749	3550	2055	3114
AT1G02145	215	109	242	182	69	133	33	38	149	133	55	97
AT1G02150	1048	474	936	319	152	274	291	128	192	334	207	204
AT1G02160	482	372	399	165	441	238	270	282	297	374	246	329
AT1G02170	379	272	407	1396	1130	928	938	791	1147	1461	929	1805
AT1G02180	2	5	5	14	13	11	10	22	27	44	19	13
AT1G02190	0	0	0	0	5	16	0	0	0	7	0	0
AT1G02205	65	154	51	41	149	155	254	271	144	172	117	142
AT1G04093	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02210	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02220	4	16	25	73	98	109	121	100	147	55	59	151
AT1G02230	21	8	10	165	196	109	137	97	208	166	77	165
AT1G02250	0	0	0	0	0	0	0	0	0	0	0	2
AT1G02260	29	30	36	32	46	22	33	41	15	22	26	81
AT1G02270	503	245	416	1173	1792	1051	1441	1155	2151	1435	1143	1571
AT1G02280	1238	444	759	565	472	554	268	341	377	835	366	820
AT1G02290	47	8	42	7	12	43	55	32	23	48	2	25
AT1G02300	363	170	363	154	115	187	92	75	100	266	105	175
AT1G02305	618	645	848	341	719	354	410	390	396	863	430	564
AT1G04097	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02310	0	0	1	5	0	3	0	0	0	2	0	2
AT1G04103	0	0	0	0	0	4	1	0	0	0	0	0
AT1G02320	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02330	160	115	141	66	112	99	71	128	134	120	76	68
AT1G02335	35	36	11	8	60	56	10	35	34	68	20	23
AT1G02340	0	0	0	13	1	0	0	4	0	0	0	7
AT1G02350	2	13	8	7	2	8	0	3	3	0	0	13
AT1G02360	108	27	36	141	66	46	40	34	89	114	111	113
AT1G02370	66	12	12	33	1	12	8	28	30	19	3	9
AT1G02380	8	18	5	15	5	3	0	0	0	1	0	8
AT1G02390	39	43	4	58	126	35	23	40	52	76	71	150
AT1G02400	62	88	36	129	101	141	87	108	204	155	142	138
AT1G02405	28	23	42	74	103	45	169	147	147	109	37	109
AT1G02410	57	19	36	17	16	81	69	44	65	48	34	58
AT1G02420	0	0	0	0	0	0	0	4	0	0	7	2
AT1G04117	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02430	0	0	0	0	0	0	0	0	0	0	0	4
AT1G04123	0	0	0	0	0	5	0	0	0	1	0	11
AT1G02440	0	1	0	17	27	3	3	8	9	18	12	9
AT1G02450	231	196	159	1978	4775	2943	1093	3356	2159	5895	3346	2677
AT1G02460	240	183	302	550	455	552	480	494	404	643	549	612
AT1G02470	0	9	3	21	2	15	11	12	7	7	8	25
AT1G02475	701	423	608	299	484	401	428	346	294	642	217	398
AT1G02480	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02490	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02500	3870	1431	2888	12907	4724	4971	8636	4542	8234	6123	4647	8534
AT1G02510	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02520	3	0	0	4	6	3	0	0	2	2	2	11
AT1G02530	0	1	0	0	0	0	0	0	0	0	0	0
AT1G02540	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02550	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02560	1357	731	1033	449	572	417	380	593	495	843	238	362
AT1G02570	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02575	0	0	0	0	0	0	0	0	0	0	0	2
AT1G02580	7	0	0	0	1	2	0	0	0	0	0	0
AT1G04127	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02590	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02610	72	74	103	12	28	63	15	57	17	39	19	46
AT1G02620	9	3	3	0	1	0	1	0	0	1	0	2
AT1G04133	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04137	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02630	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02640	16	10	5	1	15	11	1	0	6	2	15	14
AT1G02650	21	1	9	5	8	4	1	0	5	14	15	3
AT1G02660	103	59	145	209	129	293	135	151	240	288	127	213
AT1G02670	18	11	6	9	9	11	0	1	7	0	5	4
AT1G02680	372	224	247	179	385	483	248	541	370	499	347	296
AT1G04143	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02690	36	17	42	38	10	46	21	33	46	62	17	70
AT1G02700	10	0	0	0	0	0	0	0	0	0	0	0
AT1G02705	0	3	0	0	0	1	0	0	0	1	1	0
AT1G02710	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02720	97	49	143	32	26	85	69	23	14	67	31	70
AT1G02730	17	42	35	9	6	23	0	0	0	47	8	10
AT1G02740	69	49	80	122	258	126	179	113	203	184	159	166
AT1G02750	154	58	61	115	249	103	120	197	154	205	144	152
AT1G02760	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02770	7	5	6	0	17	1	0	0	3	0	1	16
AT1G02780	5254	2977	4238	2569	3553	3860	3017	3337	4137	4156	2001	3842
AT1G02790	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02800	3	0	0	0	0	0	0	0	0	0	0	1
AT1G02810	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02813	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02816	137	97	96	64	100	70	89	118	67	99	80	76
AT1G02820	141	82	175	107	223	205	262	208	344	188	84	201
AT1G02830	0	0	0	0	0	0	1	0	0	0	0	0
AT1G02840	1062	454	1007	1114	631	667	1224	600	1241	542	434	1222
AT1G02850	131	131	44	111	121	77	356	359	501	141	80	300
AT1G02860	100	85	210	75	32	79	9	27	19	92	43	45
AT1G04147	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02870	234	192	223	92	286	166	202	235	248	197	126	134
AT1G04153	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02880	165	104	203	371	244	204	463	98	343	130	141	304
AT1G02890	266	151	232	153	143	196	192	205	165	244	91	182
AT1G02900	1	2	1	0	9	11	11	0	5	4	1	17
AT1G02910	1001	244	631	294	242	431	233	123	221	467	162	228
AT1G02920	1176	393	751	10346	5769	5176	2132	1781	3991	10658	5844	9775
AT1G02930	3511	2208	3115	26637	26060	18769	9821	9256	19153	22454	17905	26419
AT1G02940	14	9	2	0	12	13	0	0	0	22	9	3
AT1G02950	144	91	138	97	135	151	153	124	122	166	82	184
AT1G02952	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02960	72	34	65	25	18	80	19	34	38	31	11	20
AT1G02965	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02970	2	0	0	11	0	3	0	0	0	0	0	0
AT1G02980	0	0	0	0	0	0	0	3	1	0	0	0
AT1G02990	108	70	64	135	48	89	96	131	147	163	69	112
AT1G03000	74	48	15	22	14	33	3	12	6	43	20	12
AT1G03010	32	9	56	1	7	0	0	0	0	7	5	1
AT1G03020	16	16	19	8	25	7	39	73	53	41	9	1
AT1G03030	55	28	102	43	33	17	25	31	51	28	14	68
AT1G03040	1058	543	954	1474	920	1322	1046	984	1499	1083	732	1390
AT1G03050	3	0	0	0	6	0	16	15	37	0	8	4
AT1G03055	16	41	18	21	34	19	16	17	15	30	1	24
AT1G03060	537	105	345	560	198	457	225	206	305	460	404	651
AT1G03070	5	6	3	0	7	0	0	6	6	0	23	7
AT1G03080	1042	474	864	938	519	1412	1404	1281	1637	1306	623	1141
AT1G03090	35	37	55	5	0	10	1	5	4	11	12	21
AT1G04157	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03100	62	25	47	7	5	24	0	26	17	19	0	34
AT1G04163	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03103	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03106	0	0	6	37	10	9	16	15	5	0	1	14
AT1G03110	132	75	83	47	23	96	122	10	116	61	71	85
AT1G03120	0	0	0	0	3	0	0	0	0	0	0	0
AT1G03130	7088	3007	5333	1033	1871	2331	1037	1274	1240	4483	1227	2101
AT1G03140	448	265	531	460	537	628	505	435	677	660	337	721
AT1G03150	141	73	164	57	94	99	89	57	117	69	89	104
AT1G04167	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03160	537	180	443	166	135	273	108	88	200	209	67	125
AT1G03165	0	0	3	8	0	0	0	0	0	1	11	4
AT1G04173	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03170	0	0	0	5	0	15	3	0	0	0	0	0
AT1G03180	9	0	0	1	3	0	0	0	0	0	0	1
AT1G03190	77	25	83	159	58	55	108	71	49	96	84	142
AT1G04177	0	0	0	0	0	0	0	0	0	0	0	1
AT1G03200	0	0	0	0	0	0	0	0	0	0	1	0
AT1G03210	231	113	119	179	174	240	140	95	123	186	125	173
AT1G03220	136	55	116	122	99	131	65	78	83	285	92	283
AT1G03230	9	42	35	22	40	19	48	23	44	66	47	63
AT1G03240	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03250	205	208	250	184	212	202	190	283	349	345	98	184
AT1G03260	14	16	35	20	40	32	36	15	16	46	16	54
AT1G03270	88	27	42	20	21	28	41	19	21	60	17	22
AT1G03280	390	171	539	470	412	392	454	440	421	452	401	598
AT1G03290	359	368	350	967	1129	1031	682	769	1019	1141	791	1051
AT1G03300	6	14	22	2	0	5	0	0	0	0	1	0
AT1G03310	505	297	370	50	111	131	77	69	59	193	96	110
AT1G03320	0	0	0	0	0	0	0	3	0	0	0	0
AT1G03325	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03330	220	224	273	132	335	242	211	295	313	336	243	295
AT1G03340	53	46	39	99	75	66	27	18	93	85	39	145
AT1G03350	309	303	245	233	568	480	302	396	407	776	527	550
AT1G03360	92	32	73	68	72	35	22	28	84	30	16	56
AT1G03365	242	201	344	70	243	448	138	237	147	559	160	281
AT1G03370	299	223	175	667	381	437	262	275	514	639	380	532
AT1G03380	535	192	441	374	289	425	284	218	198	468	256	364
AT1G03390	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03395	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03400	112	141	118	93	234	172	62	165	99	163	70	153
AT1G03410	289	64	150	68	45	91	28	39	39	102	65	37
AT1G04183	648	350	550	245	212	298	177	198	105	376	87	266
AT1G03430	345	138	322	484	258	264	322	335	284	367	199	531
AT1G03440	147	36	147	56	29	61	25	14	25	68	55	95
AT1G03445	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03457	7	0	0	0	0	2	0	12	0	2	0	0
AT1G03470	21	51	18	6	19	17	14	51	24	35	16	44
AT1G03475	4231	1945	3144	1754	1719	1512	1118	1071	1113	2819	870	1713
AT1G03490	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03495	0	0	1	0	0	0	0	0	0	0	0	0
AT1G04187	11	0	0	1	6	0	4	5	2	8	1	11
AT1G04193	0	0	0	0	0	0	4	0	0	2	0	9
AT1G03502	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03506	0	0	5	0	11	10	0	0	2	6	7	8
AT1G04197	0	0	0	0	3	1	25	0	0	0	3	7
AT1G03510	41	15	31	19	42	32	4	14	7	55	10	23
AT1G03515	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03520	21	24	73	39	67	65	41	8	50	62	27	53
AT1G03530	632	196	551	417	409	711	476	486	838	646	389	713
AT1G03540	10	23	3	0	5	3	0	11	7	2	8	3
AT1G03550	78	21	42	45	10	16	30	45	38	16	4	18
AT1G03545	7	6	4	8	4	0	6	0	0	24	14	9
AT1G03560	140	79	127	59	23	52	27	55	14	109	47	91
AT1G03570	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03590	114	78	77	63	81	84	82	50	90	80	53	84
AT1G03600	2149	1040	1758	246	411	609	326	140	162	1027	326	531
AT1G03610	214	141	145	86	121	127	82	135	111	155	59	103
AT1G03620	39	0	5	27	31	9	0	5	7	28	0	12
AT1G03630	6990	3782	5551	882	1247	1824	570	485	814	2597	935	1461
AT1G03640	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03650	19	20	48	28	46	58	8	76	40	65	30	45
AT1G03660	32	0	20	161	89	51	39	45	69	58	78	125
AT1G04203	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03670	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03680	3666	2883	3696	761	1463	1329	972	778	925	2006	964	1399
AT1G03687	43	3	21	29	10	14	23	1	20	21	0	22
AT1G03700	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03710	0	0	0	0	8	0	14	0	0	0	0	0
AT1G03720	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04207	0	0	0	0	0	0	2	0	0	0	0	0
AT1G03730	338	126	173	874	1387	487	377	706	745	2112	1202	1234
AT1G03740	134	118	213	142	188	282	305	304	247	354	209	208
AT1G04213	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03743	15	14	11	3	8	3	0	0	3	3	0	4
AT1G03746	6	2	8	0	4	0	6	3	5	1	0	4
AT1G03750	79	36	42	69	78	142	37	64	101	169	102	117
AT1G03760	94	13	103	58	48	60	129	123	132	62	29	84
AT1G03770	0	4	0	15	41	18	60	32	17	23	0	23
AT1G03780	0	0	0	0	1	1	0	0	0	0	0	0
AT1G03790	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03800	0	0	11	0	0	0	0	1	0	1	0	0
AT1G03810	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03820	62	60	28	11	29	2	2	9	17	33	13	1
AT1G03830	125	38	64	12	15	75	31	19	95	76	44	63
AT1G03840	26	13	0	22	24	4	16	5	9	24	11	23
AT1G03850	42	28	144	1270	1644	1219	787	885	1126	1055	1136	1865
AT1G03860	580	245	546	372	406	329	507	413	639	553	209	343
AT1G03870	406	167	440	12	29	99	16	10	9	25	8	8
AT1G03880	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03890	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03900	453	429	444	327	633	539	243	577	501	780	585	568
AT1G03905	5	1	1	0	15	15	10	5	8	24	8	6
AT1G03910	644	289	483	428	376	694	403	485	445	759	295	344
AT1G03920	5	0	0	0	4	2	0	0	0	1	0	1
AT1G03930	146	34	74	27	33	41	36	31	58	90	13	48
AT1G04217	14	8	21	6	8	1	2	1	3	12	12	0
AT1G03935	6	14	0	11	1	6	0	0	0	0	10	0
AT1G04223	8	26	8	0	14	3	6	9	13	6	11	6
AT1G03940	0	0	0	0	0	0	0	5	11	0	0	0
AT1G04227	12	6	9	0	5	8	0	0	6	0	7	7
AT1G03950	232	205	176	210	363	193	196	370	270	389	149	208
AT1G03960	37	17	36	9	13	14	32	8	20	26	15	19
AT1G03970	478	334	458	233	354	323	132	324	92	512	294	346
AT1G04233	0	0	0	0	0	0	0	1	0	0	0	7
AT1G03980	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03982	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03990	0	0	0	0	2	0	63	81	31	1	0	3
AT1G04000	203	68	175	53	69	61	142	203	323	107	56	86
AT1G04010	61	53	50	42	42	23	53	62	54	57	22	52
AT1G04020	17	0	23	0	0	0	0	0	10	9	0	2
AT1G04030	16	4	9	0	1	1	0	0	0	2	0	6
AT1G04040	1480	785	792	117	225	350	239	289	257	617	110	171
AT1G04237	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04050	29	5	53	26	0	5	0	2	0	6	0	10
AT1G04070	45	9	67	33	58	5	18	33	72	62	17	24
AT1G04080	453	241	687	548	219	438	376	334	479	232	110	453
AT1G04090	0	0	6	0	0	0	0	0	0	0	0	0
AT1G04100	8	19	32	31	16	41	3	31	17	34	1	20
AT1G04105	0	0	0	0	0	0	1	0	0	0	0	1
AT1G04110	0	4	1	0	0	0	0	0	1	1	0	0
AT1G04120	429	246	301	558	250	359	516	339	554	544	320	453
AT1G04243	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04130	36	39	46	42	30	43	23	38	56	30	10	21
AT1G04140	1250	671	1504	1701	1123	1766	1698	1523	1644	1691	1333	2555
AT1G04150	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04160	117	48	42	29	54	50	28	18	67	54	41	45
AT1G04170	3203	1236	2565	2431	1735	2232	1891	1541	2781	1864	1242	2947
AT1G04180	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04190	310	245	214	201	255	215	185	135	188	281	94	225
AT1G04200	141	87	93	166	101	167	98	86	131	226	121	229
AT1G04210	161	112	124	169	166	151	173	132	203	129	78	168
AT1G04220	162	176	78	88	178	241	215	210	241	262	123	234
AT1G04247	0	48	10	2	1	21	2	8	4	42	0	33
AT1G04230	103	61	92	139	117	63	116	88	135	78	57	122
AT1G04240	319	173	223	68	139	146	88	32	85	158	41	126
AT1G04253	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04250	211	59	193	131	142	160	243	152	181	351	86	164
AT1G04260	491	254	341	1038	730	606	616	469	699	746	559	1066
AT1G04270	3164	2666	2823	1473	3619	2276	2052	2357	3011	2941	1733	2517
AT1G04280	102	53	192	180	134	251	97	95	129	170	83	195
AT1G04290	229	171	202	197	254	189	120	134	143	289	105	223
AT1G04295	3	10	24	13	18	6	8	4	5	50	5	45
AT1G04300	661	227	720	837	350	984	735	527	743	827	346	902
AT1G04310	47	12	30	132	106	58	62	23	89	177	48	89
AT1G04320	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04330	1	2	5	0	0	1	0	0	3	0	0	1
AT1G04340	278	222	343	421	445	200	389	219	392	418	287	577
AT1G04350	675	432	578	233	329	245	174	292	176	316	167	260
AT1G04360	10	3	13	5	4	9	0	0	0	0	3	2
AT1G04370	0	0	0	0	0	0	6	0	0	0	0	4
AT1G04380	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04257	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04390	108	33	61	49	82	104	76	44	61	148	33	121
AT1G04400	793	394	796	220	334	413	244	267	260	659	205	409
AT1G04410	9016	5206	9436	5536	5495	5151	6436	3875	5354	5848	2960	5540
AT1G04420	908	308	629	243	265	329	205	256	225	444	152	348
AT1G04425	14	0	0	5	0	3	0	0	3	15	0	0
AT1G04430	446	246	427	111	220	252	191	144	144	370	116	196
AT1G04440	204	204	172	98	144	112	54	108	160	152	58	114
AT1G04445	0	2	0	0	0	0	0	0	0	0	0	0
AT1G04450	1	0	0	0	0	0	0	0	0	0	0	0
AT1G04455	0	0	0	0	0	0	0	0	0	0	0	0
