	DC3000 - mock	SUPP1331 - mock	delta - mock
AT1G01010	2.49797758892759	2.19288494188348	2.6542276763923
AT1G01020	0.940025213592749	0.665966111020974	0.280163889204582
AT1G01030	2.77894165018623	1.93735678389717	2.20366198515112
AT1G01040	0.817623104331921	0.502997074435898	0.998619312269798
AT1G01050	-1.08145675754018	-0.683047464495917	-0.712982547582095
AT1G01060	0.194927101774633	0.0322539721241371	0.000476603431704969
AT1G01070	0.0887512075955465	0.3257001031359	0.33290715980558
AT1G01080	-3.01441289485737	-2.11141260547241	-1.55646660503571
AT1G01090	-0.422109090135246	-0.432717303304433	-0.356396939536128
AT1G01100	-0.288722909697109	-0.318981247932355	-0.310274235054663
AT1G01120	-1.26117521018017	-1.26527874622796	-1.11471344083063
AT1G01130	-1.43185582626483	-1.73794872539083	-1.26179561310721
AT1G01140	-1.16116070075938	-0.693093002404435	-1.1375077653312
AT1G01160	-0.150101793836597	0.0519315802519094	0.00361476426332796
AT1G01170	-1.96369384324418	-1.45361612093296	-1.11777871007275
AT1G01180	-1.62399243835783	-1.80811380824889	-0.576068003254166
AT1G01190	-2.1334048270516	0.305511766607527	-0.803428924412349
AT1G01210	-0.554085807493817	-0.303121024479677	-0.568814306309797
AT1G01220	-2.16718292479111	-0.726454837616779	-0.568457078349723
AT1G01230	0.487620237868506	0.519220428773146	0.35249907208202
AT1G01240	-2.06198244394465	-0.848168395387412	-1.15371434423452
AT1G01250	-2.51817226843984	-1.90943728086796	-1.00438425307711
AT1G01260	3.06562892296212	1.90973389184507	1.9298987122103
AT1G01290	-0.637367602357616	0.00854263689932688	-0.614842793788409
AT1G01300	-0.480834051139572	-0.509007499165204	-0.543556308715866
AT1G01320	-1.80214706242744	-1.15933906775644	-1.07694256911478
AT1G01340	2.76119383271839	2.7972739881153	2.39392366552186
AT1G01350	0.411828502851567	0.388270804512483	0.572407090874919
AT1G01360	-0.143647739862098	-0.939026461157259	-0.462146162170843
AT1G01380	-1.62218636838441	-0.581379170666161	0.10164529472784
AT1G01420	-1.26199613399319	-0.35723648002525	-0.350585346117202
AT1G01430	-2.61683520641945	-2.59863160900564	-2.48387431376512
AT1G01440	0.52107526905422	0.553858767557373	0.949078414025982
AT1G01448	-1.19575248507046	-1.01674834285873	-0.508562004989465
AT1G01470	0.857990661671698	0.628447950936302	0.931969016065258
AT1G01480	7.03248039355754	4.76353019526095	5.59409512158488
AT1G01490	0.568937436792568	-0.0848588400028802	-0.504014411763892
AT1G01500	-0.321079276719394	-0.174487644775479	-0.546245847479651
AT1G01510	-0.579536879349089	-0.0469917081969982	-0.240837826555003
AT1G01540	-0.170898427986878	0.184933099995614	0.0846460872388564
AT1G01550	0.612898062453876	0.70544873490338	0.38043560793367
AT1G01560	3.86243915892106	4.67953234221305	4.78051617734259
AT1G01580	2.41906633477942	-0.357239621126903	0.96073818741238
AT1G01600	2.64573117604267	0.693548129136012	2.48895636635157
AT1G01610	-0.387292857612039	-0.484532535429203	-0.214334268477232
AT1G01620	-1.08095602645345	-0.891960134162428	-0.87460373145096
AT1G01630	-0.719432169386982	-0.477709028640789	-1.09286977168368
AT1G01640	-0.355405120126608	0.72471692889848	-0.0406866262972653
AT1G01650	1.72758234495611	0.892372433795172	0.760135709108372
AT1G01660	0.82384306181173	0.610635765362396	0.588732472083222
AT1G01670	-0.782534735614061	0.499300903504916	0.203519927868817
AT1G01680	4.72818573529813	4.15446571717217	4.29753440008178
AT1G01690	1.0719576449471	1.55477135715424	1.38550995872925
AT1G01710	-0.576159832105436	-1.11663941303214	-1.69811442906241
AT1G01720	3.38024952698953	2.79462379336651	2.6189754944955
AT1G01725	1.88042030114844	2.27601905082327	1.61858837362196
AT1G01730	1.76040462216766	1.57457709217895	1.00529172209565
AT1G01740	0.838742480149774	-0.0937386821792044	1.6744945196776
AT1G04053	-1.3519247449979	-0.987893537093604	-1.65185049779201
AT1G01770	-1.03581858244396	-1.34099722814262	-1.60185667916015
AT1G01780	-1.25751095731025	-0.618440363807884	-0.431545367570888
AT1G01790	-1.00812992427858	-1.23789158941736	-1.12980825119431
AT1G01800	-0.413106929390269	-0.0508080758640492	-0.24645819639345
AT1G01820	0.805598581536962	0.27926925743938	0.160538124468069
AT1G01830	-0.684007038809709	-0.188901642362348	0.165521052211789
AT1G01860	-1.59001744996592	-1.52559001805767	-1.99272247427378
